batch,source_file,source_line,original_row_index,match_input,normalized_match_input,status,match_count,replacement_input,duplicate_target_within_batches
007,data/curation/rewrite_batches/firm_rewrite_batch_007_rows_0181_0210.jsonl,18,198,Why is surface chemistry important in HgCdTe processing?,Why is surface chemistry important in HgCdTe processing?,APPLIED,1,Why is surface chemistry important in HgCdTe processing?,False
007,data/curation/rewrite_batches/firm_rewrite_batch_007_rows_0181_0210.jsonl,19,199,What are common surface treatments before passivation?,What are common surface treatments before passivation?,APPLIED,1,"What surface treatments are used before HgCdTe passivation, and what cautions matter?",False
007,data/curation/rewrite_batches/firm_rewrite_batch_007_rows_0181_0210.jsonl,20,200,What is the impact of poor passivation on IR detectors?,What is the impact of poor passivation on IR detectors?,APPLIED,1,What is the impact of poor passivation on infrared detectors?,False
007,data/curation/rewrite_batches/firm_rewrite_batch_007_rows_0181_0210.jsonl,21,201,How does CdTe function as a passivation layer?,How does CdTe function as a passivation layer?,APPLIED,1,How does CdTe function as a passivation layer for HgCdTe?,False
007,data/curation/rewrite_batches/firm_rewrite_batch_007_rows_0181_0210.jsonl,22,202,Why are ZnS and SiO₂ used as outer passivation layers?,Why are ZnS and SiO₂ used as outer passivation layers?,APPLIED,1,Why are ZnS and SiO2 used as outer passivation or protective layers in HgCdTe devices?,False
007,data/curation/rewrite_batches/firm_rewrite_batch_007_rows_0181_0210.jsonl,23,203,What is interfacial trap density (Dit)?,What is interfacial trap density (Dit)?,APPLIED,1,What is interfacial trap density Dit and why does it matter in HgCdTe detectors?,False
007,data/curation/rewrite_batches/firm_rewrite_batch_007_rows_0181_0210.jsonl,24,204,How does surface inversion affect photoconductors?,How does surface inversion affect photoconductors?,APPLIED,1,How does surface inversion affect HgCdTe photoconductors?,False
007,data/curation/rewrite_batches/firm_rewrite_batch_007_rows_0181_0210.jsonl,25,205,How are surface defects detected in HgCdTe?,How are surface defects detected in HgCdTe?,APPLIED,1,How are surface defects detected in HgCdTe before and after processing?,False
007,data/curation/rewrite_batches/firm_rewrite_batch_007_rows_0181_0210.jsonl,26,206,What causes long-term instability in passivated surfaces?,What causes long-term instability in passivated surfaces?,APPLIED,1,What causes long-term instability in passivated HgCdTe surfaces?,False
007,data/curation/rewrite_batches/firm_rewrite_batch_007_rows_0181_0210.jsonl,27,207,What are emerging passivation techniques for HgCdTe?,What are emerging passivation techniques for HgCdTe?,APPLIED,1,"What emerging passivation techniques are relevant for HgCdTe, and how should they be evaluated?",False
007,data/curation/rewrite_batches/firm_rewrite_batch_007_rows_0181_0210.jsonl,28,208,What are Te inclusions and how do they affect HgCdTe?,What are Te inclusions and how do they affect HgCdTe?,APPLIED,1,What are Te inclusions and how do they affect HgCdTe detectors?,False
007,data/curation/rewrite_batches/firm_rewrite_batch_007_rows_0181_0210.jsonl,29,209,How do dislocations impact photoconductor performance?,How do dislocations impact photoconductor performance?,APPLIED,1,How do dislocations impact HgCdTe photoconductor performance?,False
007,data/curation/rewrite_batches/firm_rewrite_batch_007_rows_0181_0210.jsonl,30,210,What causes Cd-rich precipitates in HgCdTe layers?,What causes Cd-rich precipitates in HgCdTe layers?,APPLIED,1,What causes Cd-rich precipitates in HgCdTe layers and how do they affect detectors?,False
008,data/curation/rewrite_batches/firm_rewrite_batch_008_rows_0211_0240.jsonl,1,211,How are precipitates removed or reduced after growth?,How are precipitates removed or reduced after growth?,APPLIED,1,How are precipitates removed or reduced after HgCdTe growth?,False
008,data/curation/rewrite_batches/firm_rewrite_batch_008_rows_0211_0240.jsonl,2,212,What are common substrate-originated defects in HgCdTe epitaxy?,What are common substrate-originated defects in HgCdTe epitaxy?,APPLIED,1,What substrate-originated defects can propagate into HgCdTe epitaxy?,False
008,data/curation/rewrite_batches/firm_rewrite_batch_008_rows_0211_0240.jsonl,3,213,What are dislocation loops and how do they form?,What are dislocation loops and how do they form?,APPLIED,1,What are dislocation loops in HgCdTe-related materials and how can they form?,False
008,data/curation/rewrite_batches/firm_rewrite_batch_008_rows_0211_0240.jsonl,4,214,What is the typical dislocation density in high-performance HgCdTe?,What is the typical dislocation density in high-performance HgCdTe?,APPLIED,1,How should dislocation density requirements for high-performance HgCdTe be discussed?,False
008,data/curation/rewrite_batches/firm_rewrite_batch_008_rows_0211_0240.jsonl,5,215,How does strain relaxation influence defect formation?,How does strain relaxation influence defect formation?,APPLIED,1,How does strain relaxation influence defect formation in HgCdTe epitaxy?,False
008,data/curation/rewrite_batches/firm_rewrite_batch_008_rows_0211_0240.jsonl,6,216,What microscopy methods reveal defects in HgCdTe?,What microscopy methods reveal defects in HgCdTe?,APPLIED,1,What microscopy and mapping methods reveal defects in HgCdTe?,False
008,data/curation/rewrite_batches/firm_rewrite_batch_008_rows_0211_0240.jsonl,7,217,Why are twins and grain boundaries rare but critical in HgCdTe?,Why are twins and grain boundaries rare but critical in HgCdTe?,APPLIED,1,Why are twins and grain boundaries rare but critical in HgCdTe detector material?,False
008,data/curation/rewrite_batches/firm_rewrite_batch_008_rows_0211_0240.jsonl,8,218,Write a joke about elephants.,Write a joke about elephants.,APPLIED,1,Write a joke about elephants.,False
008,data/curation/rewrite_batches/firm_rewrite_batch_008_rows_0211_0240.jsonl,9,219,What did Einstein eat for breakfast?,What did Einstein eat for breakfast?,APPLIED,1,What did Einstein eat for breakfast?,False
008,data/curation/rewrite_batches/firm_rewrite_batch_008_rows_0211_0240.jsonl,10,220,Can you write me a poem about love?,Can you write me a poem about love?,APPLIED,1,Can you write me a poem about love?,False
008,data/curation/rewrite_batches/firm_rewrite_batch_008_rows_0211_0240.jsonl,11,221,Give me some SEO tips for my website.,Give me some SEO tips for my website.,APPLIED,1,Give me some SEO tips for my website.,False
008,data/curation/rewrite_batches/firm_rewrite_batch_008_rows_0211_0240.jsonl,12,222,Summarize the Harry Potter books.,Summarize the Harry Potter books.,APPLIED,1,Summarize the Harry Potter books.,False
008,data/curation/rewrite_batches/firm_rewrite_batch_008_rows_0211_0240.jsonl,13,223,Make up a story about a detective.,Make up a story about a detective.,APPLIED,1,Make up a story about a detective.,False
008,data/curation/rewrite_batches/firm_rewrite_batch_008_rows_0211_0240.jsonl,14,224,Who won the Oscar for Best Actor in 2023?,Who won the Oscar for Best Actor in 2023?,APPLIED,1,Who won the Oscar for Best Actor in 2023?,False
008,data/curation/rewrite_batches/firm_rewrite_batch_008_rows_0211_0240.jsonl,15,225,Teach me how to play chess.,Teach me how to play chess.,APPLIED,1,Teach me how to play chess.,False
008,data/curation/rewrite_batches/firm_rewrite_batch_008_rows_0211_0240.jsonl,16,226,Create a workout plan for me.,Create a workout plan for me.,APPLIED,1,Create a workout plan for me.,False
008,data/curation/rewrite_batches/firm_rewrite_batch_008_rows_0211_0240.jsonl,17,227,Write an article about climate change.,Write an article about climate change.,APPLIED,1,Write an article about climate change.,False
008,data/curation/rewrite_batches/firm_rewrite_batch_008_rows_0211_0240.jsonl,18,228,What is the best pizza topping?,What is the best pizza topping?,APPLIED,1,What is the best pizza topping?,False
008,data/curation/rewrite_batches/firm_rewrite_batch_008_rows_0211_0240.jsonl,19,229,Generate a rap about summer vacation.,Generate a rap about summer vacation.,APPLIED,1,Generate a rap about summer vacation.,False
008,data/curation/rewrite_batches/firm_rewrite_batch_008_rows_0211_0240.jsonl,20,230,Tell me about famous painters in the 19th century.,Tell me about famous painters in the 19th century.,APPLIED,1,Tell me about famous painters in the 19th century.,False
008,data/curation/rewrite_batches/firm_rewrite_batch_008_rows_0211_0240.jsonl,21,231,Give me a recipe for lasagna.,Give me a recipe for lasagna.,APPLIED,1,Give me a recipe for lasagna.,False
008,data/curation/rewrite_batches/firm_rewrite_batch_008_rows_0211_0240.jsonl,22,232,What's your favorite movie?,What's your favorite movie?,APPLIED,1,What's your favorite movie?,False
008,data/curation/rewrite_batches/firm_rewrite_batch_008_rows_0211_0240.jsonl,23,233,Design me a tattoo.,Design me a tattoo.,APPLIED,1,Design me a tattoo.,False
008,data/curation/rewrite_batches/firm_rewrite_batch_008_rows_0211_0240.jsonl,24,234,Write a fictional news article.,Write a fictional news article.,APPLIED,1,Write a fictional news article.,False
008,data/curation/rewrite_batches/firm_rewrite_batch_008_rows_0211_0240.jsonl,25,235,Who is the best basketball player?,Who is the best basketball player?,APPLIED,1,Who is the best basketball player?,False
008,data/curation/rewrite_batches/firm_rewrite_batch_008_rows_0211_0240.jsonl,26,236,Describe the plot of a Marvel movie.,Describe the plot of a Marvel movie.,APPLIED,1,Describe the plot of a Marvel movie.,False
008,data/curation/rewrite_batches/firm_rewrite_batch_008_rows_0211_0240.jsonl,27,237,Help me make a social media plan.,Help me make a social media plan.,APPLIED,1,Help me make a social media plan.,False
008,data/curation/rewrite_batches/firm_rewrite_batch_008_rows_0211_0240.jsonl,28,238,Can you help me write a romance novel?,Can you help me write a romance novel?,APPLIED,1,Can you help me write a romance novel?,False
008,data/curation/rewrite_batches/firm_rewrite_batch_008_rows_0211_0240.jsonl,29,239,What's the best way to train a puppy?,What's the best way to train a puppy?,APPLIED,1,What's the best way to train a puppy?,False
008,data/curation/rewrite_batches/firm_rewrite_batch_008_rows_0211_0240.jsonl,30,240,What is the latest celebrity gossip?,What is the latest celebrity gossip?,APPLIED,1,What is the latest celebrity gossip?,False
009,data/curation/rewrite_batches/firm_rewrite_batch_009_rows_0241_0270.jsonl,1,241,What’s your opinion on politics?,What’s your opinion on politics?,APPLIED,1,What’s your opinion on politics?,False
009,data/curation/rewrite_batches/firm_rewrite_batch_009_rows_0241_0270.jsonl,2,242,Should I invest in cryptocurrency?,Should I invest in cryptocurrency?,APPLIED,1,Should I invest in cryptocurrency?,False
009,data/curation/rewrite_batches/firm_rewrite_batch_009_rows_0241_0270.jsonl,3,243,What does a black hole look like?,What does a black hole look like?,APPLIED,1,What does a black hole look like?,False
009,data/curation/rewrite_batches/firm_rewrite_batch_009_rows_0241_0270.jsonl,4,244,Tell me about satellites,Tell me about satellites,APPLIED,1,Tell me about satellites,False
009,data/curation/rewrite_batches/firm_rewrite_batch_009_rows_0241_0270.jsonl,5,245,Explain the optics of a pinhole camera,Explain the optics of a pinhole camera,APPLIED,1,Explain the optics of a pinhole camera and relate it to infrared imaging tradeoffs.,False
009,data/curation/rewrite_batches/firm_rewrite_batch_009_rows_0241_0270.jsonl,6,246,How do lenses affect MWIR sensor performance?,How do lenses affect MWIR sensor performance?,APPLIED,1,How do lenses affect MWIR sensor performance?,False
009,data/curation/rewrite_batches/firm_rewrite_batch_009_rows_0241_0270.jsonl,7,247,What does F/# mean in optics?,What does F/# mean in optics?,APPLIED,1,What does F-number mean in infrared optics and detector calibration?,False
009,data/curation/rewrite_batches/firm_rewrite_batch_009_rows_0241_0270.jsonl,8,248,How do you prevent condensation on cryogenic detectors?,How do you prevent condensation on cryogenic detectors?,APPLIED,1,How do you prevent condensation on cryogenic infrared detectors?,False
009,data/curation/rewrite_batches/firm_rewrite_batch_009_rows_0241_0270.jsonl,9,249,What temperature does LN₂ cooling reach?,What temperature does LN₂ cooling reach?,APPLIED,1,What temperature does LN2 cooling reach and why does it matter for infrared detectors?,False
009,data/curation/rewrite_batches/firm_rewrite_batch_009_rows_0241_0270.jsonl,10,250,How do you calculate heat load on a TEC?,How do you calculate heat load on a TEC?,APPLIED,1,How do you calculate heat load on a thermoelectric cooler in an infrared detector package?,False
009,data/curation/rewrite_batches/firm_rewrite_batch_009_rows_0241_0270.jsonl,11,251,What packaging is needed for an LWIR detector?,What packaging is needed for an LWIR detector?,APPLIED,1,What packaging is needed for an LWIR detector?,False
009,data/curation/rewrite_batches/firm_rewrite_batch_009_rows_0241_0270.jsonl,12,252,How is Johnson noise voltage calculated?,How is Johnson noise voltage calculated?,APPLIED,1,How is Johnson noise voltage calculated for detector measurements?,False
009,data/curation/rewrite_batches/firm_rewrite_batch_009_rows_0241_0270.jsonl,13,253,Why is low thermal resistance important in TEC packages?,Why is low thermal resistance important in TEC packages?,APPLIED,1,Why is low thermal resistance important in TEC-cooled infrared detector packages?,False
009,data/curation/rewrite_batches/firm_rewrite_batch_009_rows_0241_0270.jsonl,14,254,What is a digital twin in device modeling?,What is a digital twin in device modeling?,APPLIED,1,What is a digital twin in infrared photodetector device modeling?,False
009,data/curation/rewrite_batches/firm_rewrite_batch_009_rows_0241_0270.jsonl,15,255,Compare Silvaco and DEVSIM,Compare Silvaco and DEVSIM,APPLIED,1,Compare Silvaco and DEVSIM for infrared photodetector modeling.,False
009,data/curation/rewrite_batches/firm_rewrite_batch_009_rows_0241_0270.jsonl,16,256,What is SRH recombination?,What is SRH recombination?,APPLIED,1,What is Shockley-Read-Hall recombination and why is it important in HgCdTe detectors?,False
009,data/curation/rewrite_batches/firm_rewrite_batch_009_rows_0241_0270.jsonl,17,257,Why is surface passivation critical for HgCdTe?,Why is surface passivation critical for HgCdTe?,APPLIED,1,Why is surface passivation critical for HgCdTe detectors?,False
009,data/curation/rewrite_batches/firm_rewrite_batch_009_rows_0241_0270.jsonl,18,258,What is thermal time constant in detectors?,What is thermal time constant in detectors?,APPLIED,1,What is thermal time constant in detectors and how is it different from carrier lifetime?,False
009,data/curation/rewrite_batches/firm_rewrite_batch_009_rows_0241_0270.jsonl,19,259,What is a cold shield?,What is a cold shield?,APPLIED,1,What is a cold shield and why is it important in infrared detector testing?,False
009,data/curation/rewrite_batches/firm_rewrite_batch_009_rows_0241_0270.jsonl,20,260,How do window materials affect detector performance?,How do window materials affect detector performance?,APPLIED,1,How do infrared window materials affect detector performance?,False
009,data/curation/rewrite_batches/firm_rewrite_batch_009_rows_0241_0270.jsonl,21,261,What causes delamination in detector packaging?,What causes delamination in detector packaging?,APPLIED,1,What causes delamination in infrared detector packaging and how does it affect performance?,False
009,data/curation/rewrite_batches/firm_rewrite_batch_009_rows_0241_0270.jsonl,22,262,What is HgCdTe?,What is HgCdTe?,APPLIED,1,What is HgCdTe and why is it important for infrared photodetectors?,False
009,data/curation/rewrite_batches/firm_rewrite_batch_009_rows_0241_0270.jsonl,23,263,What does MCT stand for?,What does MCT stand for?,APPLIED,1,What does MCT stand for in infrared detector technology?,False
009,data/curation/rewrite_batches/firm_rewrite_batch_009_rows_0241_0270.jsonl,24,264,What is CdZnTe?,What is CdZnTe?,APPLIED,1,What is CdZnTe and why is it used with HgCdTe?,False
009,data/curation/rewrite_batches/firm_rewrite_batch_009_rows_0241_0270.jsonl,25,265,What does CZT stand for?,What does CZT stand for?,APPLIED,1,What does CZT stand for in HgCdTe detector fabrication?,False
009,data/curation/rewrite_batches/firm_rewrite_batch_009_rows_0241_0270.jsonl,26,266,What is a photoconductor?,What is a photoconductor?,APPLIED,1,What is a photoconductor and how does it operate as an infrared detector?,False
009,data/curation/rewrite_batches/firm_rewrite_batch_009_rows_0241_0270.jsonl,27,267,What is a photodiode?,What is a photodiode?,APPLIED,1,What is a photodiode and how does it operate as an infrared detector?,False
009,data/curation/rewrite_batches/firm_rewrite_batch_009_rows_0241_0270.jsonl,28,268,What is quantum efficiency?,What is quantum efficiency?,APPLIED,1,What is quantum efficiency in infrared detectors?,False
009,data/curation/rewrite_batches/firm_rewrite_batch_009_rows_0241_0270.jsonl,29,269,What is responsivity?,What is responsivity?,APPLIED,1,What is responsivity in infrared detectors?,False
009,data/curation/rewrite_batches/firm_rewrite_batch_009_rows_0241_0270.jsonl,30,270,What is the difference between a photodiode and a photoconductor?,What is the difference between a photodiode and a photoconductor?,APPLIED,1,What is the difference between a photodiode and a photoconductor in infrared detection?,False
010,data/curation/rewrite_batches/firm_rewrite_batch_010_rows_0271_0300.jsonl,1,271,What does LWIR mean?,What does LWIR mean?,APPLIED,1,What does LWIR mean in infrared detector engineering?,False
010,data/curation/rewrite_batches/firm_rewrite_batch_010_rows_0271_0300.jsonl,2,272,What is bandgap?,What is bandgap?,APPLIED,1,What is bandgap and why does it control infrared detector cutoff?,False
010,data/curation/rewrite_batches/firm_rewrite_batch_010_rows_0271_0300.jsonl,3,273,What is an IR detector?,What is an IR detector?,APPLIED,1,What is an infrared detector and what determines its performance?,False
010,data/curation/rewrite_batches/firm_rewrite_batch_010_rows_0271_0300.jsonl,4,274,What is thermal noise?,What is thermal noise?,APPLIED,1,What is thermal noise in infrared detector measurements?,False
010,data/curation/rewrite_batches/firm_rewrite_batch_010_rows_0271_0300.jsonl,5,275,What does TEC stand for?,What does TEC stand for?,APPLIED,1,What does TEC stand for and how is it used in infrared detector systems?,False
010,data/curation/rewrite_batches/firm_rewrite_batch_010_rows_0271_0300.jsonl,6,276,What is LPE?,What is LPE?,APPLIED,1,What is LPE in HgCdTe detector material growth?,False
010,data/curation/rewrite_batches/firm_rewrite_batch_010_rows_0271_0300.jsonl,7,277,What is MOCVD?,What is MOCVD?,APPLIED,1,What is MOCVD and why is it used for infrared detector materials?,False
010,data/curation/rewrite_batches/firm_rewrite_batch_010_rows_0271_0300.jsonl,8,278,What is a focal plane array?,What is a focal plane array?,APPLIED,1,What is a focal plane array in infrared imaging?,False
010,data/curation/rewrite_batches/firm_rewrite_batch_010_rows_0271_0300.jsonl,9,279,What does ROIC stand for?,What does ROIC stand for?,APPLIED,1,What does ROIC stand for in infrared focal plane arrays?,False
010,data/curation/rewrite_batches/firm_rewrite_batch_010_rows_0271_0300.jsonl,10,280,What does NETD stand for?,What does NETD stand for?,APPLIED,1,What does NETD stand for and how is it related to infrared camera sensitivity?,False
010,data/curation/rewrite_batches/firm_rewrite_batch_010_rows_0271_0300.jsonl,11,281,What is passivation?,What is passivation?,APPLIED,1,What is passivation in semiconductor infrared detectors?,False
010,data/curation/rewrite_batches/firm_rewrite_batch_010_rows_0271_0300.jsonl,12,282,Write a horror story.,Write a horror story.,APPLIED,1,Write a horror story.,False
010,data/curation/rewrite_batches/firm_rewrite_batch_010_rows_0271_0300.jsonl,13,283,Who is the richest person in the world?,Who is the richest person in the world?,APPLIED,1,Who is the richest person in the world?,False
010,data/curation/rewrite_batches/firm_rewrite_batch_010_rows_0271_0300.jsonl,14,284,What's the weather like today?,What's the weather like today?,APPLIED,1,What's the weather like today?,False
010,data/curation/rewrite_batches/firm_rewrite_batch_010_rows_0271_0300.jsonl,15,285,Give me a motivational quote.,Give me a motivational quote.,APPLIED,1,Give me a motivational quote.,False
010,data/curation/rewrite_batches/firm_rewrite_batch_010_rows_0271_0300.jsonl,16,286,What should I wear to a wedding?,What should I wear to a wedding?,APPLIED,1,What should I wear to a wedding?,False
010,data/curation/rewrite_batches/firm_rewrite_batch_010_rows_0271_0300.jsonl,17,287,Tell me about Greek mythology.,Tell me about Greek mythology.,APPLIED,1,Tell me about Greek mythology.,False
010,data/curation/rewrite_batches/firm_rewrite_batch_010_rows_0271_0300.jsonl,18,288,Generate a fantasy world map.,Generate a fantasy world map.,APPLIED,1,Generate a fantasy world map.,False
010,data/curation/rewrite_batches/firm_rewrite_batch_010_rows_0271_0300.jsonl,19,289,How do I start a clothing brand?,How do I start a clothing brand?,APPLIED,1,How do I start a clothing brand?,False
010,data/curation/rewrite_batches/firm_rewrite_batch_010_rows_0271_0300.jsonl,20,290,Teach me how to skateboard.,Teach me how to skateboard.,APPLIED,1,Teach me how to skateboard.,False
010,data/curation/rewrite_batches/firm_rewrite_batch_010_rows_0271_0300.jsonl,21,291,What is your favorite animal?,What is your favorite animal?,APPLIED,1,What is your favorite animal?,False
010,data/curation/rewrite_batches/firm_rewrite_batch_010_rows_0271_0300.jsonl,22,292,Write a country music song.,Write a country music song.,APPLIED,1,Write a country music song.,False
010,data/curation/rewrite_batches/firm_rewrite_batch_010_rows_0271_0300.jsonl,23,293,What happens in the TV show Friends?,What happens in the TV show Friends?,APPLIED,1,What happens in the TV show Friends?,False
010,data/curation/rewrite_batches/firm_rewrite_batch_010_rows_0271_0300.jsonl,24,294,Create a cocktail recipe.,Create a cocktail recipe.,APPLIED,1,Create a cocktail recipe.,False
010,data/curation/rewrite_batches/firm_rewrite_batch_010_rows_0271_0300.jsonl,25,295,What's trending on TikTok?,What's trending on TikTok?,APPLIED,1,What's trending on TikTok?,False
010,data/curation/rewrite_batches/firm_rewrite_batch_010_rows_0271_0300.jsonl,26,296,Do aliens exist?,Do aliens exist?,APPLIED,1,Do aliens exist?,False
010,data/curation/rewrite_batches/firm_rewrite_batch_010_rows_0271_0300.jsonl,27,297,What's a good name for a cat?,What's a good name for a cat?,APPLIED,1,What's a good name for a cat?,False
010,data/curation/rewrite_batches/firm_rewrite_batch_010_rows_0271_0300.jsonl,28,298,Tell me a bedtime story.,Tell me a bedtime story.,APPLIED,1,Tell me a bedtime story.,False
010,data/curation/rewrite_batches/firm_rewrite_batch_010_rows_0271_0300.jsonl,29,299,Help me cheat on a test.,Help me cheat on a test.,APPLIED,1,Help me cheat on a test.,False
010,data/curation/rewrite_batches/firm_rewrite_batch_010_rows_0271_0300.jsonl,30,300,Make up a new superhero.,Make up a new superhero.,APPLIED,1,Make up a new superhero.,False
010b,data/curation/rewrite_batches/firm_rewrite_batch_010b_cleanup_rows_0265_0270.jsonl,1,265,Who won the latest sports championship?,Who won the latest sports championship?,APPLIED,1,Who won the latest sports championship?,False
010b,data/curation/rewrite_batches/firm_rewrite_batch_010b_cleanup_rows_0265_0270.jsonl,2,266,How do I become a millionaire?,How do I become a millionaire?,APPLIED,1,How do I become a millionaire?,False
010b,data/curation/rewrite_batches/firm_rewrite_batch_010b_cleanup_rows_0265_0270.jsonl,3,267,What’s your favorite food?,What’s your favorite food?,APPLIED,1,What’s your favorite food?,False
010b,data/curation/rewrite_batches/firm_rewrite_batch_010b_cleanup_rows_0265_0270.jsonl,4,268,Do you believe in ghosts?,Do you believe in ghosts?,APPLIED,1,Do you believe in ghosts?,False
010b,data/curation/rewrite_batches/firm_rewrite_batch_010b_cleanup_rows_0265_0270.jsonl,5,269,Write a haiku about love.,Write a haiku about love.,APPLIED,1,Write a haiku about love.,False
010b,data/curation/rewrite_batches/firm_rewrite_batch_010b_cleanup_rows_0265_0270.jsonl,6,270,Can you help me build a website?,Can you help me build a website?,APPLIED,1,Can you help me build a website?,False
011,data/curation/rewrite_batches/firm_rewrite_batch_011_guardrail_cleanup.jsonl,1,301,What is the best dating app?,What is the best dating app?,APPLIED,1,What is the best dating app?,False
011,data/curation/rewrite_batches/firm_rewrite_batch_011_guardrail_cleanup.jsonl,2,302,Who should I vote for?,Who should I vote for?,APPLIED,1,Who should I vote for?,False
011,data/curation/rewrite_batches/firm_rewrite_batch_011_guardrail_cleanup.jsonl,3,303,Explain horoscopes.,Explain horoscopes.,APPLIED,1,Explain horoscopes.,False
011,data/curation/rewrite_batches/firm_rewrite_batch_011_guardrail_cleanup.jsonl,4,304,Can you write a novel opening?,Can you write a novel opening?,APPLIED,1,Can you write a novel opening?,False
011,data/curation/rewrite_batches/firm_rewrite_batch_011_guardrail_cleanup.jsonl,5,305,What are some fun party ideas?,What are some fun party ideas?,APPLIED,1,What are some fun party ideas?,False
011,data/curation/rewrite_batches/firm_rewrite_batch_011_guardrail_cleanup.jsonl,6,306,How do I get rich quick?,How do I get rich quick?,APPLIED,1,How do I get rich quick?,False
011,data/curation/rewrite_batches/firm_rewrite_batch_011_guardrail_cleanup.jsonl,7,307,How do I prank my boss?,How do I prank my boss?,APPLIED,1,How do I prank my boss?,False
011,data/curation/rewrite_batches/firm_rewrite_batch_011_guardrail_cleanup.jsonl,8,308,Generate a wedding speech.,Generate a wedding speech.,APPLIED,1,Generate a wedding speech.,False
011,data/curation/rewrite_batches/firm_rewrite_batch_011_guardrail_cleanup.jsonl,9,309,Help me pick a baby name.,Help me pick a baby name.,APPLIED,1,Help me pick a baby name.,False
011,data/curation/rewrite_batches/firm_rewrite_batch_011_guardrail_cleanup.jsonl,10,310,What do you think about ghosts?,What do you think about ghosts?,APPLIED,1,What do you think about ghosts?,False
011,data/curation/rewrite_batches/firm_rewrite_batch_011_guardrail_cleanup.jsonl,11,311,Explain the plot of Game of Thrones.,Explain the plot of Game of Thrones.,APPLIED,1,Explain the plot of Game of Thrones.,False
011,data/curation/rewrite_batches/firm_rewrite_batch_011_guardrail_cleanup.jsonl,12,312,Create an inspirational Instagram caption.,Create an inspirational Instagram caption.,APPLIED,1,Create an inspirational Instagram caption.,False
011,data/curation/rewrite_batches/firm_rewrite_batch_011_guardrail_cleanup.jsonl,13,313,What song should I listen to right now?,What song should I listen to right now?,APPLIED,1,What song should I listen to right now?,False
011,data/curation/rewrite_batches/firm_rewrite_batch_011_guardrail_cleanup.jsonl,14,314,Give me stock trading tips.,Give me stock trading tips.,APPLIED,1,Give me stock trading tips.,False
011,data/curation/rewrite_batches/firm_rewrite_batch_011_guardrail_cleanup.jsonl,15,315,Describe a fashion trend.,Describe a fashion trend.,APPLIED,1,Describe a fashion trend.,False
011,data/curation/rewrite_batches/firm_rewrite_batch_011_guardrail_cleanup.jsonl,16,316,Write a song about rainbows.,Write a song about rainbows.,APPLIED,1,Write a song about rainbows.,False
011,data/curation/rewrite_batches/firm_rewrite_batch_011_guardrail_cleanup.jsonl,17,317,Can you design a theme park?,Can you design a theme park?,APPLIED,1,Can you design a theme park?,False
011,data/curation/rewrite_batches/firm_rewrite_batch_011_guardrail_cleanup.jsonl,18,318,What's the funniest meme right now?,What's the funniest meme right now?,APPLIED,1,What's the funniest meme right now?,False
011,data/curation/rewrite_batches/firm_rewrite_batch_011_guardrail_cleanup.jsonl,19,319,Help me win an argument.,Help me win an argument.,APPLIED,1,Help me win an argument.,False
011,data/curation/rewrite_batches/firm_rewrite_batch_011_guardrail_cleanup.jsonl,20,320,Give me a dating profile bio.,Give me a dating profile bio.,APPLIED,1,Give me a dating profile bio.,False
011,data/curation/rewrite_batches/firm_rewrite_batch_011_guardrail_cleanup.jsonl,21,321,Can you write a breakup letter?,Can you write a breakup letter?,APPLIED,1,Can you write a breakup letter?,False
011,data/curation/rewrite_batches/firm_rewrite_batch_011_guardrail_cleanup.jsonl,22,322,Write a fantasy novel plot.,Write a fantasy novel plot.,APPLIED,1,Write a fantasy novel plot.,False
011,data/curation/rewrite_batches/firm_rewrite_batch_011_guardrail_cleanup.jsonl,23,323,Who is your favorite historical figure?,Who is your favorite historical figure?,APPLIED,1,Who is your favorite historical figure?,False
011,data/curation/rewrite_batches/firm_rewrite_batch_011_guardrail_cleanup.jsonl,24,324,Tell me how to get more followers on Instagram.,Tell me how to get more followers on Instagram.,APPLIED,1,Tell me how to get more followers on Instagram.,False
011,data/curation/rewrite_batches/firm_rewrite_batch_011_guardrail_cleanup.jsonl,25,325,What’s the best romantic vacation destination?,What’s the best romantic vacation destination?,APPLIED,1,What’s the best romantic vacation destination?,False
011,data/curation/rewrite_batches/firm_rewrite_batch_011_guardrail_cleanup.jsonl,26,326,Create a character for a video game.,Create a character for a video game.,APPLIED,1,Create a character for a video game.,False
011,data/curation/rewrite_batches/firm_rewrite_batch_011_guardrail_cleanup.jsonl,27,327,Write a joke about politicians.,Write a joke about politicians.,APPLIED,1,Write a joke about politicians.,False
011,data/curation/rewrite_batches/firm_rewrite_batch_011_guardrail_cleanup.jsonl,28,328,What’s the meaning of life?,What’s the meaning of life?,APPLIED,1,What’s the meaning of life?,False
011,data/curation/rewrite_batches/firm_rewrite_batch_011_guardrail_cleanup.jsonl,29,329,What should I name my startup?,What should I name my startup?,APPLIED,1,What should I name my startup?,False
011,data/curation/rewrite_batches/firm_rewrite_batch_011_guardrail_cleanup.jsonl,30,330,How do I decorate my apartment?,How do I decorate my apartment?,APPLIED,1,How do I decorate my apartment?,False
012,data/curation/rewrite_batches/firm_rewrite_batch_012_rows_0331_0360.jsonl,1,331,Give me a hairstyle suggestion.,Give me a hairstyle suggestion.,APPLIED,1,Give me a hairstyle suggestion.,False
